,title,company,salary,summary
0,REMOTE - Full Stack Python Developer,Strategic Employment Partners - Chicago,"$100,000 - $130,000 a year",Ability to mentor junior developers. 4+ years OO programming experience (ideally python). They are looking for multiple engineers and they are using react and…
1,"Software Engineer - Python, GO, AWS","Computer Enterprises, Inc. (CEI)","$110,000 - $140,000 a year","Creation, management and operation of a diverse set of Dev-Ops-related tools, processes, paradigms and technologies that enable the creation and ongoing…"
2,Python Developer,Decision Research Corporation,,"3-4 years' experience in a developer or analyst role. At DRC, we help our clients solve their complex business challenges by creating solutions that streamline…"
3,Python Developer,Avani Systems,,"This includes systems to capture, inspect and modify usage of the GPU through Metal. Build tools specific functionality within the Metal framework."
4,Java / C++ / Python Developers,10Types,,"10Types is looking to engage Software Developers versed in Java, C++, and Python to support engineering and R&D initiatives."
5,"Application Developer, Professional Service Specialist 2",Rowan University,,4-year degree or equivalent education in a related field. Professional experience may be substituted for education on a year-for-year basis.
6,Python Developer,Tech Pundits,,With one application you can be considered for thousands of tech roles from leading companies on Seen…
7,Junior Backend Developer,"Picwell, Inc.","$55,000 - $90,000 a year",Work with frontend developers to expose features to our consumer-facing UI. The team will help the developer learn API service development and maintenance; you…
8,"SQL Database Developer – ETL, Python, Big Data",Computer Enterprises Inc.,"$110,000 - $130,000 a year","SQL Database Developer – ETL, Python, Big Data*. Work with Complex SQL, Functions, and Stored Procedures to implement data ETL solutions from various sources…"
9,Websphere Application Administrator & Developer-VP,Citi,,Experienced in python and ansible scripting automation. The Applications Development Technology Lead Analyst is a senior level position responsible for…
10,C# Developer,Human Capital Resource,"$100,000 - $175,000 a year",You will work directly with traders and Quants to develop high-performance systems and decision support tools in a fast-paced environment.
11,Software Engineer,Haverford College,,"Haverford College seeks to hire a full-time, fixed term, exempt, benefits eligible Software Engineer in support of the College’s DARPA contract, “Discovery…"
12,Full Stack Python Engineer,Accenture,,"Minimum of 3 years of development/architecture experience. Minimum of 2 years of experience with Python using Flask, Django, or similar framework."
13,Software Engineering,"JPMorgan Chase Bank, N.A.",,"The candidate will be responsible for Big Data platform application development to deliver key deliverables. Programming experience in one or more: Java, Python…"
14,Java Developer,Peritus Global Services,$55 - $65 an hour,"Related keywords: java developer, java, software engineer, software developer. Secondary skills- *_JAVA, API, Java, automated testing, AngualrJS, API Gateway,…"
15,REMOTE - Full Stack Python Developer,Strategic Employment Partners - Chicago,"$100,000 - $130,000 a year",Ability to mentor junior developers. 4+ years OO programming experience (ideally python). They are looking for multiple engineers and they are using react and…
16,"Software Engineer - Python, GO, AWS","Computer Enterprises, Inc. (CEI)","$110,000 - $140,000 a year","Creation, management and operation of a diverse set of Dev-Ops-related tools, processes, paradigms and technologies that enable the creation and ongoing…"
17,Python Developer,Decision Research Corporation,,"3-4 years' experience in a developer or analyst role. At DRC, we help our clients solve their complex business challenges by creating solutions that streamline…"
18,Python Developer,Avani Systems,,"This includes systems to capture, inspect and modify usage of the GPU through Metal. Build tools specific functionality within the Metal framework."
19,Java / C++ / Python Developers,10Types,,"10Types is looking to engage Software Developers versed in Java, C++, and Python to support engineering and R&D initiatives."
20,"Application Developer, Professional Service Specialist 2",Rowan University,,4-year degree or equivalent education in a related field. Professional experience may be substituted for education on a year-for-year basis.
21,Python Developer,Tech Pundits,,With one application you can be considered for thousands of tech roles from leading companies on Seen…
22,Junior Backend Developer,"Picwell, Inc.","$55,000 - $90,000 a year",Work with frontend developers to expose features to our consumer-facing UI. The team will help the developer learn API service development and maintenance; you…
23,"SQL Database Developer – ETL, Python, Big Data",Computer Enterprises Inc.,"$110,000 - $130,000 a year","SQL Database Developer – ETL, Python, Big Data*. Work with Complex SQL, Functions, and Stored Procedures to implement data ETL solutions from various sources…"
24,Websphere Application Administrator & Developer-VP,Citi,,Experienced in python and ansible scripting automation. The Applications Development Technology Lead Analyst is a senior level position responsible for…
25,C# Developer,Human Capital Resource,"$100,000 - $175,000 a year",You will work directly with traders and Quants to develop high-performance systems and decision support tools in a fast-paced environment.
26,Software Engineer,Haverford College,,"Haverford College seeks to hire a full-time, fixed term, exempt, benefits eligible Software Engineer in support of the College’s DARPA contract, “Discovery…"
27,Full Stack Python Engineer,Accenture,,"Minimum of 3 years of development/architecture experience. Minimum of 2 years of experience with Python using Flask, Django, or similar framework."
28,Software Engineering,"JPMorgan Chase Bank, N.A.",,"The candidate will be responsible for Big Data platform application development to deliver key deliverables. Programming experience in one or more: Java, Python…"
29,Java Developer,Peritus Global Services,$55 - $65 an hour,"Related keywords: java developer, java, software engineer, software developer. Secondary skills- *_JAVA, API, Java, automated testing, AngualrJS, API Gateway,…"
30,Python Developer,Decision Research Corporation,,"3-4 years' experience in a developer or analyst role. At DRC, we help our clients solve their complex business challenges by creating solutions that streamline…"
31,REMOTE - Full Stack Python Developer,Strategic Employment Partners - Chicago,"$100,000 - $130,000 a year",Ability to mentor junior developers. 4+ years OO programming experience (ideally python). They are looking for multiple engineers and they are using react and…
32,Python Developer,Avani Systems,,"This includes systems to capture, inspect and modify usage of the GPU through Metal. Build tools specific functionality within the Metal framework."
33,Java / C++ / Python Developers,10Types,,"10Types is looking to engage Software Developers versed in Java, C++, and Python to support engineering and R&D initiatives."
34,"Application Developer, Professional Service Specialist 2",Rowan University,,4-year degree or equivalent education in a related field. Professional experience may be substituted for education on a year-for-year basis.
35,Python Developer,Tech Pundits,,With one application you can be considered for thousands of tech roles from leading companies on Seen…
36,Junior Backend Developer,"Picwell, Inc.","$55,000 - $90,000 a year",Work with frontend developers to expose features to our consumer-facing UI. The team will help the developer learn API service development and maintenance; you…
37,"SQL Database Developer – ETL, Python, Big Data",Computer Enterprises Inc.,"$110,000 - $130,000 a year","SQL Database Developer – ETL, Python, Big Data*. Work with Complex SQL, Functions, and Stored Procedures to implement data ETL solutions from various sources…"
38,"Software Engineer - Python, GO, AWS","Computer Enterprises, Inc. (CEI)","$110,000 - $140,000 a year","Creation, management and operation of a diverse set of Dev-Ops-related tools, processes, paradigms and technologies that enable the creation and ongoing…"
39,Websphere Application Administrator & Developer-VP,Citi,,Experienced in python and ansible scripting automation. The Applications Development Technology Lead Analyst is a senior level position responsible for…
40,C# Developer,Human Capital Resource,"$100,000 - $175,000 a year",You will work directly with traders and Quants to develop high-performance systems and decision support tools in a fast-paced environment.
41,Software Engineer,Haverford College,,"Haverford College seeks to hire a full-time, fixed term, exempt, benefits eligible Software Engineer in support of the College’s DARPA contract, “Discovery…"
42,Full Stack Python Engineer,Accenture,,"Minimum of 3 years of development/architecture experience. Minimum of 2 years of experience with Python using Flask, Django, or similar framework."
43,Software Engineering,"JPMorgan Chase Bank, N.A.",,"The candidate will be responsible for Big Data platform application development to deliver key deliverables. Programming experience in one or more: Java, Python…"
44,Java Developer,Peritus Global Services,$55 - $65 an hour,"Related keywords: java developer, java, software engineer, software developer. Secondary skills- *_JAVA, API, Java, automated testing, AngualrJS, API Gateway,…"
45,REMOTE - Full Stack Python Developer,Strategic Employment Partners - Chicago,"$100,000 - $130,000 a year",Ability to mentor junior developers. 4+ years OO programming experience (ideally python). They are looking for multiple engineers and they are using react and…
46,Python Developer,Decision Research Corporation,,"3-4 years' experience in a developer or analyst role. At DRC, we help our clients solve their complex business challenges by creating solutions that streamline…"
47,Python Developer,Avani Systems,,"This includes systems to capture, inspect and modify usage of the GPU through Metal. Build tools specific functionality within the Metal framework."
48,"Software Engineer - Python, GO, AWS","Computer Enterprises, Inc. (CEI)","$110,000 - $140,000 a year","Creation, management and operation of a diverse set of Dev-Ops-related tools, processes, paradigms and technologies that enable the creation and ongoing…"
49,Java / C++ / Python Developers,10Types,,"10Types is looking to engage Software Developers versed in Java, C++, and Python to support engineering and R&D initiatives."
50,"Application Developer, Professional Service Specialist 2",Rowan University,,4-year degree or equivalent education in a related field. Professional experience may be substituted for education on a year-for-year basis.
51,Python Developer,Tech Pundits,,With one application you can be considered for thousands of tech roles from leading companies on Seen…
52,Junior Backend Developer,"Picwell, Inc.","$55,000 - $90,000 a year",Work with frontend developers to expose features to our consumer-facing UI. The team will help the developer learn API service development and maintenance; you…
53,"SQL Database Developer – ETL, Python, Big Data",Computer Enterprises Inc.,"$110,000 - $130,000 a year","SQL Database Developer – ETL, Python, Big Data*. Work with Complex SQL, Functions, and Stored Procedures to implement data ETL solutions from various sources…"
54,Websphere Application Administrator & Developer-VP,Citi,,Experienced in python and ansible scripting automation. The Applications Development Technology Lead Analyst is a senior level position responsible for…
55,C# Developer,Human Capital Resource,"$100,000 - $175,000 a year",You will work directly with traders and Quants to develop high-performance systems and decision support tools in a fast-paced environment.
56,Software Engineer,Haverford College,,"Haverford College seeks to hire a full-time, fixed term, exempt, benefits eligible Software Engineer in support of the College’s DARPA contract, “Discovery…"
57,Full Stack Python Engineer,Accenture,,"Minimum of 3 years of development/architecture experience. Minimum of 2 years of experience with Python using Flask, Django, or similar framework."
58,Software Engineering,"JPMorgan Chase Bank, N.A.",,"The candidate will be responsible for Big Data platform application development to deliver key deliverables. Programming experience in one or more: Java, Python…"
59,Java Developer,Peritus Global Services,$55 - $65 an hour,"Related keywords: java developer, java, software engineer, software developer. Secondary skills- *_JAVA, API, Java, automated testing, AngualrJS, API Gateway,…"
